gnd_id,preferred_name,variant_names,date_of_birth,date_of_death,professions,places_of_birth
100162495,"Herolt, Johannes",Joannes Herolt|Herold Johannes|Herolt Johann|Berolis Johannes|Johannes Heroldt|Herold Johann|Johann Herold|Verfasser der Postillen Guilelmus|Herolt de Nuremberg Johannes|Discipulus|Johannes Herold|Jean Herolt|Heroldus Johannes|Discipulus Johannes|Johann Heroldt|Ioannis Herolt|Herolt Johannes|Verfasser der Postillen Guilelmus aus Paris|Johannes Herolt,,1468,Theologe|Mönch|Prior,
100308309,"Meisterlin, Sigismundus",Meisterlikus Sigismundus|Religiosus Sigismundus|Sigismundus Mewstrlin|Siegsmund Meisterlin|Sigismundus Musterlin|Sigsmundi Meisterlin|Meisterlin Sigismond|Sigmund Meisterlein|Sigismundus Meusterlin|Sigmund Meisterlin|Sigismund Meisterlin|Sigismundus Meisterlein|Meisterlin Sigmund|Sigismundus Müsterlin|Meisterlin Sigismund|Sigismundus Meunsterlin|Meisterlinus Sigismundus|Meisterlein Sigismund|Sigismundus Maysterlin|Sigismundus Münsterlin|Sigismundus Meysterlin|Historiographus Meisterlin|Siegmund Meisterlin|Sigismond Meisterlin|Sigismundus Maisterlin|Meisterlin Sigismundus|Sigismundus Meisterlin,1435,1497,Geschichtsschreiber|Chronist|Geistlicher|Mönch,
100380301,"Hieremias, de Montagnone",Montagnonus Jeremias|de Montagnone Jeremias|da Montagnone Geremia|Jeremias Montagnonus|da Montagnone Jeremiasza|de Montagnone Jérémie|Hieremias de Montagnone|Geremia da Montagnone|de Montagnone Hieremias,,,,
100775268,"Haneron, Anthonius",Haneron Anthonius|Haneron Antoine|Anthonius Haveron|Anthonius Hankron|Antonius Haneron|Haneron Antonius|Chanoine Hanneron|Anthonius Hancron|Anthonius Hanck|Antoine Haneron|Anthonius Haneron,,1490-12-10,,
100787487,"Fliscus, Stephanus",Stephano Fieschi|Fliscus Stephanus|Stefano Fieschi|Stephanus Fliscus de Suncino|Stephanus Fliscus,,,Humanist|Grammatiker,
100849660,"Augustinus, Dati","Augustinus Datus|Pseudo-Datus|Senensis Augustinus|Augustinus, Pseudo- Datus|Balbus Augustinus|Augustinus Dattus|Augustinus Dach|Dathus Senensis Augustinus|le Blègue Augustin|Augustinus Dactus|Augustinus Daci|Datius Augustinus|Datus de Sienne Augustinus|Augustin Dati|Augustinus Dachus|Augustinus Dathi|Augustino Dati|Datus Senensis Augustinus|Augustinus Dati|Augustinus Dathus|Agostinus Datus|Agostino Dati|Dati Augustinus",1420,1478,Humanist|Philologe|Philosoph,Siena
100935419,"Adolf, von Wien",von Wien Adolfus|Viennensis Adolfus|di Vienna Adolfo|Adolfus von Wien|Adolphus of Vienna|von Wien Adolf,,,Schriftsteller,
100937047,"Aurispa, Giovanni","Italienischer Humanist Johannes Aurispa|Aurispa Giovanni|Aurispa Johannes|Piciuneri Johannes|Giovanni Pichuneiro|Giovanni, Italienischer Humanist Aurispa|Johannes Aurispa|Aurispa Piciuneri|Giovanni Aurispa|Giovanni Siculo|Johannes Siculus|Siculus Johannes|Johannes, Italienischer Humanist Aurispa|Johannes Auruspa|Giovanni Auruspa|Giovanni Aurispa",1376,1459,,
10093885X,"Caracciolo, Roberto",de Litio Robert|Roberto Caraccioli de Licio|Caracciolo Robertus|Roberto Carazola|von Lecce Robert|Robertus Caraczolus|Robertus Caraceiolus|Robertus Carazulus|de Litio Robertus|de Licio Rubertus|Caracciolus Robertus|de Aquino Robertus|de Licio Robertus|Robertus Carazolus|Robertus de Licio|Roberto Caraccioli|Robertus Caracciolus|Episcopus Robertus|Liciensis Robertus|Caraccioli Roberto|da Lecce Roberto|Roberto Caracciolo,1425,1495,Mönch|Prediger|Bischof,Lecce
100939333,"Konrad, von Brundelsheim, Heilsbronn, Abt","Soccus|de Fonte Salutis Conradus|Zisterzienser Soccus|Soccus Conradus|Conradus Brundelsheim|Frater Ordinis Cisterciensis Soccus|Dictus Soccus Conradus|Fons Salutis Conradus|de Brundelsheim Conradus|Prediger Soccus|Konrad Brundelsheim|Conrad Brundelsheim|Heilsbronnius Conradus|Brundelsheimensis Conradus|Conradus de Brundelsheim|Heilsbronn, Abt Konrad|Konrad von Brundelsheim|von Brundelsheim Konrad|von Heilsbronn Konrad|de Heilsbronn Conradus|von Brundelsheim, Heilsbronn, Abt Konrad",,1321,,
10093997X,"Dietrich, von Zengg",von Zug Dietrich|von Zengg Theodoricus|von Zengg Dieterich|Bruder Dietrich|Barfüßer Theodoricus|de Croatie Thierry|of Croatia Dietrich|von Zeng Theodoricus|von Zeng Dieterich|Barfüßer Dietrich|Dietrich von Zengg|Franziskaner Dietrich|Dietrich|von Zug Dieterich|von Zug Theodoricus|von Zenng Dieterich|Bruder Dietrich|von Zengg Bruder Dietrich|Croata Theodericus|von Zeng Dietrich|Croata Theodoricus|Franziskaner Theodoricus|von Zengg Dietrich,,,Mönch,
100940293,"Eberhardus, Bremensis",Eberhardus Alemannus|Teutonicus Eberhardus|der Deutsche Eberhard|di Germania Everardo|Teutonicus Everardus|von Bremen Eberhard|z Bremy Eberhard|l'Allemand Evrard|Alemannus Everardus|Alemannus Eberhardus|Bremensis Eberhardus,,,Theologe|Lyriker,
100941699,"Frowinus, Cracoviensis",Sandecensis Frowinus|von Krakau Frowin|Cracoviensis Vrowius|Cracoviensis Hrodwinus|Scarbimiriensis Frovinus|Scholasticus Frovinus|aus Krakau Frowinus|Scholasticus Frowinus|Cracoviensis Vidvinus|von Breslau Frowin|Scarbimiriensis Frowinus|z Krakowa Frowin|Cracoviensis Vrawinus|Sandecensis Vrowinus|Cracoviensis Frowinus,1295,1347,Propst|Pfarrer,Nowy Sącz
100942091,"Gasparino, Barzizza","Bergamensis Gasparinus|Pergamensis Gasperinus|Gasparinus, Ital. Humanist Barzizius|Ital. Humanist Gasparinus Barzizius|Barzizius Casparinus|Gasparino, Ital. Humanist Barzizza|Barzizius Gasparinus|di Pietrobono Gasparino|Bergomas Casparinus|di Barzizza Gasparino|Ital. Humanist Gasparinus Bergamensis|Gasparinus Barzizius|Ital. Humanist Casparinus Bergomas|Gasparino Barzizza|Ital. Humanist Gasparino di Pietrobono|von Barzizza Gasparino|Pergamensis Gasparinus|Gasparino Barziza|Barzizza Gasparino",1360,1431,Humanist,Bergamo
100944175,"Guido, de Monte Rocherii",de Monterocherio Guido|de Monte Rochen Guido|von Montrocher Guido|de Monte Rotherii Guido|de Montrocher Guy|Guido de Monte Rocherii|Guido de Monte Rochen|de Monte Rocherii Guido,,,,
100945260,"Haimo, von Auxerre",Altissiodorensis Haimo|Haimo von Auxerre|Monachus Haimo|de Auxerre Aimone|of Auxerre Haimo|d' Auxerre Haimo|de Saint-Germain d'Auxerre Haimo|Avtissiodorensis Haymonis|de Auxerre Haimo|d'Auxerre Aimon|Altissiodorensis Haymo|d'Auxerre Haimon|v. Auxerre Haimo v. Auxerre|Autissiodorensis Haimo|of Auxerre Aimo|d'Auxerre Haymon|Autissiodorensis Haymon|von Auxerre Haimo,,0855,Exeget|Theologe,
100945538,"Petrus, Helias",Hélie Pierre|Heliae Petrus|Petrus Helie|Helie Petrus|Elias Petrus|Petrus Helias|Helias Petrus,,,Linguist,
100945872,"Heinrich, von Settimello",der Arme Heinrich|Pauper Henricus|da Settimello Enrico|da Settimello Arrighetto|le Pauvre Henri|Samariensis Henricus|Henricus aus Settimello|Samariensis Septimolensis Henricus|Septimellensis Henricus|Arrighettus|de Septime Henricus|Septimolensis Henricus|Septimelensis Henricus|Sangelsinus Henricus|aus Settimello Henricus|da Settimello Arrigo|de Settimello Herigetus|Florentinus Henricus|von Settimello Heinrich,,,Kanzler|Schriftsteller,Calenzano-Settimello
10094647X,"Hugo, de Novo Castro",de Newcastle Hugues|de Novocastro Hugo|Skotist Hugo|Hugo de Novo Castro|de Neufchateau Hugo|de Castro Novo Hugo|de Novo Castro Hugo,,,,
100946488,"Hugo, de Prato Florido",de Prato de Vinacensibus Hugo|Hugo de Pratoflorido|Hugo De Prato Florido|Pratensis Hugo|de Vinacensibus Hugo|de Vinac Hugo|von der Blumenwiese Hugo|Ugo di Vinac|Hugo Vinac|Ugo Vinac|Hugo de Prato Florido|de Prato Ugo|Prato Ugo de|de Prato Florido Pseudo-Hugo|Prato Hugo de|de Pratoflorido Hugo|Hugo de Vinac|de Prato Hugo|de Prato Florido Hugo,1262,1322,Prediger|Mönch,Prato
100948391,"Johannes, Ianuensis",Balbi Johannes|de Balbis Johannes|Johannes Balbis|de Genova Johannes|Johannes de Balbis|Johannes Januensis de Balbis|Balbus de Ianua Johannes|de Balbis Ianuensis Johannes|Joannes Januensis de Balbis|de Janua Johannes|von Genua Johannes|Balbi von Genua Johannes|Genuensis Johannes|de Genua Johannes|da Genova Giovanni|Johannes Balbus|Balbi Giovanni|Balbus Johannes|de Gênes Jean|Johannes Ianuensis de Balbis|de Ianua Johannes|de Ianua Giovanni|of Genoa John|Giovanni Balbi|de Balbi Giovanni|Ianuensis Johannes,,1298,Theologe,
100948545,"Johannes, Calderinus",Calderino Giovanni|Giovanni Calderini|Johannes Caldrini|Giovanni Calderino|Calderini Johannes|Johannes Calderinus|Calderinus Johannes,1300,1365,,
100950744,"Iordanus, de Quedlinburgo",de Quedlinburgo Jordanus|van Quedlinburg Jordanus|Quedlinburgensis Iordanus|de Quedlinburg Jordanus|Saxo Quedlimburgensis Jordanus|von Sachsen Jordan|Eremita Jordanus|Jordanus de Quedlinburgo|Frater ordinis Sancti Augustini Jordanus|Quedlinburgensis Jordanus|Jordan von Quedlinburg|Ordinis Eremitarum Sancti Augustini Iordanes|de Quedlinburg Giordano|of Saxony Jordanus|Ordinis Eremitarum Sancti Augustini Jordanes|von Quedlinburg Jordanus|de Saxe Jourdain|le Teutonique Jordan|of Saxony Jordan|von Sachsen Jordanus|de Saxonia Iordanus|Eremita Iordanus|von Quedlinburg Jordan|of Quedlinburg Jordan|Iordanus de Quedlinburgo|Saxo Quedlimburgensis Iordanus|de Quedlinburgo Iordanus,1300,1380,Katholischer Theologe|Schriftsteller|Prediger,Quedlinburg
100951996,"Leonardus, de Utino",Leonardo di Matteo|Leonardus de Utino|von Udine Leonhard|Leonardo Mattei|Mattei Leonhard|Matthaei Leonardus|Leonardus Matthaei|Mattei Leonardo|Uticensis Leonardus|Matthaei de Utino Leonardus|di Matteo Leonardo|d'Udine Léonard|de Utino Leonardus,,1470,Prediger|Mönch,Udine
100957935,"Petrus, von Rosenheim",Vix Petrus|de Rosenhaim Petrus|de Rosenhaym Petrus|Petrus von Rosenhaym|de Rosenheim Pierre|Melicensis Petrus|Petrus Wiechs|Petrus Vix|de Rosenheim Petrus|Petrus de Rosenhaim|di Rosenheim Pietro|Petrus von Rosenheim|Petrus de Rosenheim|aus Rosenheim Petrus|von Rosenheim Petrus Wiechs (Vix)|von Melk Petrus|Peter von Rosenhaim|von Rosenheim Peter|Wiechs Petrus|von Rosenhaym Petrus|von Rosenheim Petrus,1380,1433,Theologe|Prior,Rosenheim
